TurbineID,WindSpeed,RotorSpeed,BladeAngle,GearboxTemp,GeneratorTemp,Vibration,PowerOutput,Humidity,AmbientTemperature,TimeSinceLastMaintenance,Failure,FaultType
T56,23.9,12.3,34,98,77,0.98,936,65,27,143,0,None
T46,12.6,17.6,27,84,86,0.7,1517,74,33,221,0,None
T47,22.4,18,30,94,86,0.76,1460,73,16,151,0,None
T79,12.9,18,27,71,88,0.74,1134,68,32,169,0,None
T16,8.6,13.8,27,79,93,1.33,1485,79,21,180,1,Generator
T69,5.1,11.7,33,89,88,0.75,1414,75,27,158,0,None
T2,11.6,18.4,17,93,93,1.05,1187,60,28,252,0,None
T92,12.6,13.3,20,87,77,1.13,1717,70,26,131,0,None
T54,23.9,17.5,22,84,89,1.24,1170,62,17,148,0,None
T27,9.1,18.2,27,77,94,0.53,1396,66,25,289,0,None
T31,12.6,17.7,26,75,84,0.98,1487,65,16,218,0,None
T41,5.5,13.9,37,96,94,0.79,1792,75,15,61,0,None
T36,20.3,19.4,23,74,86,1.33,1363,65,19,185,0,None
T47,23.3,16.6,17,83,94,0.54,1128,80,21,184,0,None
T43,9.8,15.8,17,97,90,0.71,916,63,29,158,0,None
T65,13.6,17,15,74,84,0.82,1177,68,23,293,0,None
T50,7.4,10.4,16,74,76,0.58,1726,70,25,242,0,None
T93,14.1,13.9,41,91,88,0.9,1803,69,27,52,0,None
T1,7.7,18.8,36,80,80,1.24,1561,62,16,160,0,None
T72,15.5,11.6,45,83,81,0.71,1943,65,22,73,0,None
T57,19.7,14.1,16,89,75,1.25,1474,70,24,211,0,None
T16,16.1,14.1,40,81,86,1.03,1427,76,20,35,0,None
T28,9.9,13.6,36,94,81,0.84,1816,74,23,214,0,None
T86,12.1,15.6,34,99,95,0.87,1084,71,25,90,0,None
T82,17.8,20,26,98,90,0.62,917,80,27,213,0,None
T22,16.8,12.6,26,86,82,0.75,1870,75,21,198,0,None
T41,7.7,17,40,81,81,1.23,1488,77,29,299,0,None
T76,21.9,17.6,36,83,89,1.36,1719,60,32,70,0,None
T19,14.5,15.8,35,80,80,0.77,1592,64,18,85,0,None
T89,8.2,11,16,83,84,1.09,1630,74,21,100,0,None
T50,7.5,15.7,21,70,78,0.53,1546,66,22,107,0,None
T59,24.3,19.5,44,72,80,0.58,1698,67,17,142,1,Blades
T69,10.6,13.4,29,93,77,1.46,1025,72,27,196,1,Gearbox
T34,23.2,16.4,38,80,84,1.4,1176,71,19,125,0,None
T39,13.2,19.6,27,94,94,0.58,1427,64,33,140,0,None
T74,12.7,18,38,84,77,1.32,1688,78,18,251,0,None
T7,19,16.9,19,94,84,0.6,1239,73,30,201,0,None
T52,5.2,19.7,16,90,81,1.33,1788,74,28,59,0,None
T60,11.8,11.7,29,76,82,1.41,972,77,24,259,0,None
T52,11.1,17.7,33,83,90,0.65,1770,62,25,284,0,None
T79,22.4,14.1,25,91,84,0.65,1669,69,18,227,0,None
T24,15.6,13.6,36,80,88,1.43,972,62,16,160,0,None
T26,12.3,15.2,30,76,94,0.8,935,61,34,36,0,None
T90,10.3,10.3,43,86,87,0.97,1824,74,16,63,0,None
T90,16.8,13.1,18,78,82,0.8,1059,76,27,94,0,None
T10,8,11.7,17,88,83,1.25,1179,61,31,184,0,None
T17,9.9,11.4,42,78,89,0.71,1886,77,15,108,0,None
T78,10.9,13.4,35,97,89,0.99,1277,66,23,72,0,None
T2,17.2,18,35,80,82,1.35,1483,73,21,181,0,None
T77,12.5,12,16,97,89,1.44,934,74,19,91,1,Gearbox
T27,15.1,15.3,43,78,86,0.85,1526,74,18,250,0,None
T73,18,17.5,38,88,95,0.61,1685,72,23,113,0,None
T71,24.1,12.4,38,74,93,1.31,1522,62,18,148,1,Generator
T48,20.3,19.2,42,93,91,0.61,1790,62,19,59,1,Blades
T74,13.1,18.7,32,76,76,1.28,1754,63,26,239,0,None
T9,20,12.5,27,96,83,1.19,1427,78,20,130,0,None
T86,24,19.9,29,84,86,1.08,1610,64,17,44,0,None
T23,15,16.7,38,73,85,1.44,1204,63,32,277,0,None
T71,13.2,12.9,38,81,90,0.82,1294,80,24,163,0,None
T73,6.6,16.8,33,93,93,0.59,1584,60,32,75,0,None
T27,22.8,16.7,22,72,91,1.48,1626,76,16,265,1,Generator
T88,9.9,16.1,40,89,79,0.94,994,77,28,286,0,None
T93,6.3,17.1,34,85,85,0.93,1801,73,31,246,0,None
T81,15.7,12.7,22,79,83,0.59,1601,79,29,252,0,None
T84,21.9,19.8,29,93,90,1.24,1260,67,32,174,0,None
T71,13.1,18.6,45,72,93,1.22,1149,62,17,103,0,None
T43,20.7,17.5,25,85,81,0.65,1563,65,18,203,0,None
T7,21.7,10.3,18,85,85,0.73,1665,62,18,108,0,None
T92,14.1,15.9,16,73,90,0.52,1921,70,28,185,0,None
T83,16.8,17.1,21,74,76,1.39,1103,79,35,247,0,None
T63,15.7,18.5,21,82,94,0.74,1453,70,23,106,0,None
T84,23.8,19.5,41,86,91,1.43,1951,67,33,60,1,Generator
T44,19.5,19.2,20,72,86,1.07,1900,78,33,235,0,None
T39,23.5,14.1,41,70,91,0.93,1426,72,31,43,1,Blades
T40,9.4,19,18,76,92,0.51,1507,79,25,70,0,None
T7,11.2,10,42,85,85,0.59,1908,79,21,192,0,None
T70,6.4,13.5,23,71,84,0.66,935,79,16,290,0,None
T25,15,11.1,33,92,92,0.61,1974,74,25,106,0,None
T59,22.5,18.8,20,75,92,0.76,1975,70,32,286,0,None
T13,11.5,19.3,27,93,77,0.65,1939,66,25,292,0,None
T86,7.6,12.6,18,76,93,1.16,1962,79,15,297,0,None
T81,6.4,13.7,32,80,81,0.8,1234,71,31,253,0,None
T86,14,19.8,25,84,88,1.22,941,80,18,233,0,None
T98,8.3,15.7,41,80,89,0.64,1213,78,18,65,0,None
T62,11.9,15,20,71,81,0.71,1280,68,20,62,0,None
T8,21.4,15,23,97,81,1.29,1288,78,19,161,0,None
T45,12.7,17,20,79,89,1.13,1649,71,29,230,0,None
T18,17.2,19.5,32,74,79,0.6,1850,75,34,68,0,None
T88,15,13.7,18,74,92,1.46,1144,70,17,88,1,Generator
T60,19.4,11.7,21,99,79,1.26,1392,80,23,154,0,None
T60,8.1,11.9,35,74,82,1.05,1316,68,27,257,0,None
T2,23.4,10.2,17,80,80,0.84,1741,62,24,82,0,None
T66,17.9,15.6,37,72,80,0.59,1250,77,22,83,0,None
T91,10.4,19.3,18,92,95,0.86,962,75,19,177,0,None
T14,7.5,17.1,33,88,80,0.82,1267,63,26,208,0,None
T48,8,19.9,45,86,87,0.58,1289,70,25,205,0,None
T56,20.7,19.1,20,96,90,1.28,1805,74,35,280,0,None
T12,16.8,14.9,23,87,76,0.92,1503,68,24,256,0,None
T96,12.6,14.9,42,99,93,1.39,1476,78,33,83,1,Gearbox
T92,11.7,16.3,34,89,78,0.66,1559,79,34,251,0,None
T55,22.1,11.1,30,81,87,0.82,1518,77,22,232,0,None
T28,22.5,16.1,32,71,88,0.78,1650,71,21,169,0,None
T89,16.6,14.6,24,92,88,1.37,1894,69,34,128,1,Gearbox
T4,15.5,16.4,41,81,90,1.01,1864,72,27,226,0,None
T90,21.3,15.7,37,88,94,0.64,1445,70,19,195,0,None
T36,20,13.1,34,96,94,0.86,1831,62,20,51,0,None
T50,13,16.1,43,70,87,1.44,1849,76,15,110,0,None
T3,6.7,13.7,32,93,82,1.05,1769,79,21,50,0,None
T1,20.4,11.9,30,83,81,0.54,946,70,27,266,0,None
T17,8.4,16.8,44,74,93,0.56,1628,61,21,145,0,None
T71,5.3,13.1,21,87,92,0.74,1245,66,20,170,0,None
T62,21.9,18.9,19,86,81,1.12,1861,62,16,123,0,None
T48,16.6,12,20,95,78,0.75,1212,80,32,203,0,None
T62,22.8,16,45,86,92,1.35,1910,63,28,216,1,Generator
T69,14.7,15.7,35,95,87,1.13,1577,62,33,84,0,None
T19,23.5,12,24,86,81,0.8,1610,70,15,232,0,None
T34,12.1,14.4,22,83,87,0.89,1877,61,33,131,0,None
T99,19.5,16.8,17,81,76,0.88,1984,73,25,100,0,None
T49,11,13.2,19,75,79,0.81,1240,77,18,134,0,None
T80,5,11.1,42,88,86,1.13,998,65,20,189,0,None
T47,12.6,16.2,37,86,86,0.7,1696,79,18,234,0,None
T91,19.8,12.2,43,99,80,0.79,977,73,20,173,0,None
T50,8,16.8,28,82,95,0.59,1487,63,20,247,0,None
T89,15.1,18.4,33,83,83,0.88,1280,73,27,197,0,None
T26,9.2,11.2,30,75,89,0.56,1329,61,20,198,0,None
T56,6.5,14.4,41,88,80,0.52,1159,67,25,211,0,None
